	text	emotion
49	A drunkard fell, started bleeding and wet himself.  Disgust that á turned into sadness-unpleasantness.	5
50	When, as an adult I have been caught lying or behaving badly.	6
51	When I am in an environment or with a person much worse off than á me, I realize how privileged I am.	7
52	When I saw a person I had not seen for a long time.	1
53	When, as a child, I was nearly knocked down by a car.	2
54	When I heard on the radio that the football match in Belgium had á ended in a catastrophe, and several people had died.  I could not á  understand how normal people could behave in such a way.	3
55	When I feel lonely, perhaps because I have to study a lot and I á am shut up in my appartment.  Nothing happens in particular á because there is no time for anything else.	4
56	When one learns through the mass media all the wars and killing á going on in the world.	5
57	I lied, to be precise I cancelled a meeting with a good friend.	6
58	When one lets friends down	7
59	When I was accepted for a course on finance and accounting.	1
60	A bus drove over my right leg.  The event itself was not very á frightening but when I had to wait in the emergency ward for á three hours and then my leg began to swell, I was frightened.	2
61	At my Summer job, nobody looked after me in particular and I had á to learn all on my own.	3
62	When I was not accepted as a student in finance and accounting.	4
63	When I had just moved into my new appartment I found a ventilator á in the kitchen.  I was going to clean it when I found that the á drum was full of mud and slime.  I felt disgusted.	5
64	My elder brother and I have not always had a good relationship á and I feel ashamed of myself as I do not call him to talk to him á nowadays.	6
65	At my Summer job a new caretaker had been employed who was my age á  but I preferred going out for lunch with the accounts personnel á rather than with him.	7
66	Passed an exam by 2 points.	1
67	In a cottage in a large forest, I was alone for a while in the á dark.	2
68	When I spoke to Jan-Erik Wikstr÷m on the telephone. 	3
69	Railway station good-bye.	4
70	I saw a cripple in rags with small children in Italy.  He was á probably an imposter.	5
71	I told a friend that I was going to a party and he would not á enjoy himself if he came along.  He understood  that he would not á have fitted in and there was something in that.	6
72	I was the reason behind the break-up of my friend's relationship á with his girlfriend.  She finished with him.	7
73	I passed an exam that I was absolutely certain that I had failed.	1
74	On the way back from Denmark with a friend on a small yatch, á there was a storm and my friend was blown overboard;  I was very á scared till I managed to get him back onboard.	2
75	I locked myself out.	3
76	I missed the last tram home and had to walk in the pouring rain.	4
77	I found some worms in the food and I had obviously eaten some.	5
78	My friend was so intoxicated that the police came and took him á away, and they later contacted his parents.	6
79	I hapened to overhear something which I was not meant to hear.	7
80	When I won a trip to Greece in a competition.	1
81	When I am out in the dark and a suspicious looking character á comes towards me.	2
82	At work, when an elderly man complained unjustifiably about me and á distrusted me.	3
83	When I had not understood anything after a lecture.	4
84	When an alcoholic stood dribbling over a food counter.	5
85	When my friend and I were discussing the good looks of a guy we á realized that he had been listening.	6
86	When I complained about a colleague to the manager and he told á her that someone had complained; this colleague came to me á believing that I liked her.	7
87	At a friend's birthday party with some of my closest friends.  It á was all very pleasant and one could say that I was happy to have á such good friends.	1
88	On the way home one Friday night in the heavy rain the car á acquaplanned.  I lost contact with the road surface for a few á seconds.	2
89	Mad at my dad.	3
90	A case of unrequited love.	4
91	A bad smelling cucumber.	5
92	Nearly caught masturbating.	6
93	I do not help out enough at home.	7
94	I felt very happy when I won the football pools.	1
95	When I flew from Athens to Copenhagen after a holiday.  The plane á was caught in a storm and it began to shake and I thouhght that á we were going to crash.	2
96	When someone stole my bike.	3
97	"When I saw the list of books to read for an acccouting course, I á thought \ Oh God how will I ever manaage it!\"""""	4
98	It was when I read a newspaper article on the future and they á foresaw that we would be eating frog-burgers by the year 2000.  á An illustration showed a frog between two pieces of bread.	5
99	When I dropped a bottle in the state liquor store and everyboby á started laughing.	6
100	When I was young - 14, I pinched from a store and was caught.  á The store then contacted my parents.	7
101	When the whole family gets together for a one week holiday.  á Everybody feels free and the trip is well planned.  It works out á well and we enjoy ourselves.	1
102	When I could not find my 2 year old daughter.  I ran and looked á for her everywhere and could not find her.  (I finally found her, á she had gone to bed to sleep)	2
103	When friends try to put me down or hurt me.  	3
104	Marriage crises.  Boredom.	4
105	When someone makes advances that one does not want.	5
106	The discovery that one has only thought of oneself.	6
107	When I spanked a child in anger and later regretted it terribly.	7
108	When I passed the first examination that I had to repeat.	1
109	When I drove to Stockholm for the first time and drove off the á Stora Hissingen road at the wrong exit.	2
110	When my boyfriend went away for a month long holiday without me.	3
111	Last year when I worked during the Summer holidays and studied á at the same time for an examination I had to repeat; my boyfriend á went to Greece for a holiday for a month.	4
112	When a dog is left whining outside a shop.	5
113	When I promised to help a friend over a weekend and did not keep á the promise.	6
114	When I realized that I had three more examinations to take.	7
115	The day I was told that I had been accepted as a student of á economics.	1
116	While taking a short cut through the Vasa park, I was surrounded á by three people who tried to steal my money.  I was scared and á was saved only by the appearance of other people.	2
117	At a restaurant I observed how the gypsies tried to get money by á cheating the foreigners i.e non Swedish speaking.  My anger had á nothing to do with hatred against foreigners, but it was an á expression of the anger I feel when I see people being used .	3
118	At the begining of a new course one is afraid of encountering á problems one can not manage.  Thoughts revolve around failing á the subject and the consequences it would have for the future.	4
119	While walking in town I noticed how the police harrassed a man á who was under the influence of alcohol.  They terrified him with á the thought of arrest by driving close behind him on a pedestrian á street.  My disgust was directed at the gestures and the facial á expressions of the policemen; they seemed to be enjoying á themselves.	5
120	When my boyfriend revealed that he knew that I had discovered á things of an important nature about him, I felt ashamed as I had á not mentioned it earlier.	6
121	When I am dishonest to a friend to whom I am very close.  I á feel guilty because I know that he gives a different version of á the truth and I have not corrected these mistakes, and he is á aware that I know that they are wrong.	7
122	When I found out that I had passed the last two exams by a á margin of three marks.	1
123	When my father was ill and was waiting for the results of his tests.	2
124	When I got caught in the pouring rain last Thursday and did not á have a raincoat on me.	3
125	When I failed an exam.	4
126	At a Sm÷rgasbord table, a man mixed differnet kinds of picked á herrings with fruit salad.	5
127	When I had not prepared my contribution to the group as á thoroughly as the other members, with the result that the á overall result was poor.	6
128	When my father and I worked on the house just after he had á recovered from illness, I was rather lazy.  This meant that he á had to work hard and was not very well later.	7
129	When I gave birth to my son and saw that he was alive and that I á had managed it well.  He was born a month too early with a á malfunctioning lung.  This happened a year ago.	1
130	When I found out that my father had lung cancer and they did not á know how long he would live.	2
131	When a colleague asked me for help at work, despite the fact á that he had more time to do it than I had.	3
132	When I did not get the salary increase that I had been expecting á and understood how little one's work was appreciated.	4
133	When I was weeding the garden I found a lizard in my hand.	5
134	When I met a friend whom I had not seen for a long time and á heard all about her troubles, I thought that I should have got á in touch with her earlier.	6
135	I got angry at my mother for something trivial.  We were in a á bad mood because my father was very ill and I knew that my mother á really needed support.  I had reacted wrongly.	7
136	New year's eve 1983/1984, I met my girlfriend.  We stood on the á steps outside her parents home and I kissed her for the á first time.	1
137	When I was stopped by plain clothes policemen because the car I á was driving had overturned on the Avenue.  I had been driving too á fast, and I was afraid when I was stopped, questionned and then á toild to go.  The situation ended happily since there were no á consequences.	2
138	The editor changed the heading of an article that I had written.  á He considered the heading to be derogatory towards the person I had written á about.	3
139	A close acquaintance of the family died of lung cancer.  á Although it was expected, I still felt depressed.	4
140	When I saw a picture, in the Gothenburg Post, of a totally á demolished car with two fatally injured passengers.  The car was á so badly damaged that they couldn't get the bodies out at the á scene of the accident.	5
141	One night I had a sexual intercourse with another man.  My sexual á desire and my curiosity had made me jump into bed with him.  I am á ashamed of myself now.	6
142	Due to laziness, I failed the term studies completely at á University.  I also wanted, to some extent, to protest against my á parents' expectations.	7
143	When I got the loan for my studies.	1
144	I met intoxicated people with dubious intentions in a back alley á one Wednesday night.	2
145	On the T.V I saw a news feature on South Africa.  A policeman      á attacked a group of black people with a whip.	3
146	The thought of having to read a boring book of 400 pages in á English.	4
147	Grovelling people.	5
148	My inability to assert myself positively in a group.	6
149	I experience feelings of guilt because I do not study enough.	7
150	Observing someone in the cafeteria noisily gulping in his food, á having extremely bad manners.	5
151	I guess I have often been ashamed after having talked badly of á other people.	6
152	Having been angry and unpleasant towards my parents.	7
153	When my sister - after a history of one abortion and one á stillbirth - gave birth to a perfectly healty boy.	1
154	When my sister had the still born child, she was emotionally very á deep down, and it took her a long time to recover.	2
155	We were starting a student project, and the teacher we talked to á was very negative and not very helpful.	3
156	When my boyfriend openly let me down, preferring another girl.	4
157	I felt some disgust for my boyfriend for a time, after he had á left me.	5
158	Can't think of any.	6
159	Before an accident, my aunt offered me the front seat of the car, á next to the driver. I declined, she took that seat and was killed á there when the car crashed.	7
160	Unexpected visit by a close friend, whom I hadn't seen for half a á year.	1
161	I wandered by mistake into the safety zone of a shooting range, á and was shot at.	2
162	Being treated unfairly.	3
163	Breaking up with a girl.	4
164	Nothing.	5
165	None.	6
166	Little contact with my father before he died.	7
167	When I was accepted as a student at the college, not having á thought it possible.	1
168	When I was the first to arrive at the scene after an accident, á and found that a close school friend had been killed.	2
169	I was accused of having done something, which I hadn't and got á very angry.	3
170	When my grandmother died.	4
171	Not applicable.	5
172	A couple of years ago during the summer holiday, I was fishing at á a lake with my husband.  Suddenly it started raining while the á sun was still shining. I experienced a feeling of joy, happiness á and fulfillment.  the whole nature was full of music.	1
173	I was alone at home, in bed reading a womens' magazine in which á there were storiees of paranormal experiences.  My leg was á itching and I stretched my hand to scratch and I felt another á strange hand. (later I realized that it was the corner of the á blanket)	2
174	I went to a lecture and once again it had been cancelled, this á was the second time.  One had a negative attitude towards the á lecturer.á 	3
175	I heard that a former superior of mine had died, I was later at á home home reading about it in the newspaper and I thought of our á interaction and how it was no longer possible.  The limited scope á of human life is sad.	4
176	In the tram there was a fat, sickly looking woman in front of me á who was asking for directions in a thick voice.  When she got up to á go a disgusting smell of urine came from her.  I felt that I á would choke.	5
177	When we were at home, my husband and I, he made a remark about á something I had done, in a perfectly friendly manner.  My deed á had been unjust and I knew that my husband was right, therefore my á sense of shame.	6
178	I made a remark to my sister concerning her attitude to men, the á way she talked and I compared her to an acquaintance of mine.  á Later, the same evening, my sister looked sad.  I felt guilty á about her sadness.	7
179	I had a summer job in Sweden, and my boyfriend came to meet me on á my birthday.	1
180	I went to practice in Sweden during summer, and I was afraid that á I would not do well.	2
181	In the holiday cottage of our association, two of my pals came to á wake me up early one morning by bringing a radio played at the á highest volume into my room - it was the morning service at its á loudest.	3
182	My grandmother died suddenly last summer.	4
183	My superior at the summer job swindled customers as much as he á could, and once put me in a difficult situation after which I á could not but detest him.	5
184	Once I arrived two hours late to my work place (a bank) and I was á still feeling feeble and tired.	6
185	Our association had Polish visitors and when they were going back á by boat I did not go to see them off (I am the chairman of the á association).	7
186	I was told quite unexpectedly that one wanted me to become the á vice-chairman of our student organisation.  I was really á surprised and joy was the first emotion I felt, though behind it á there was worry - how shall I succeed ?	1
187	Our tutorial group was soon to be divided, and we got a list of á names of freshmen, out of which five were to be in my group.  We á read the names and then each group went its own way to a seminar á room.  I wondered how I would cope with the new situation and if á I would succeed as a group leader.	2
188	We were in a disco and the evening was not at all pleasant.  á Despite my not knowing why, I was angry with my companion.  I let á him feel my bad humour as I cannot hide my feelings.	3
189	My grandmother died, and my mother called me one sunday morning á in the Autumn.  The way my mother told me about it, I hated her á at that moment.  She sounded as if she had been waiting for the á death of my grandmother.  I had lost a person close to me.  I á felt guilty too as I had been bad to my grandmother of late.  I had not á remained calm when she no longer understood everything so well.	4
190	At the underground station, a drunkard came to speak to me.  He á tried to ask me something but I did not answer so he began to á speak about me with his companion.  I detested this dirty á growling man.	5
191	I was worried by a task related to my studies which had to be á done in groups of two.  I was talking about it to my friends when á I said something negative, in too abrupt a manner, concerning my á work partner.  I did not quite mean what I said and I felt á ashamed at having been mean enough to criticize him as he is also á a friend of mine.	6
192	I had told my boyfriend that I did not want to go on with our á relationship.  I knew that I was important to him but I wanted to á be free.  I saw that this was difficult for him but I remained á firm and did not change my mind.	7
193	"Last night I had a chat with a fellow student.  I had known her á for about half a year, and for the first time we were speaking á \the same language\""- meaning an inspiring discussion and á"	1
194	After hearing about the death of my grandfather.  First I could á not believe it, but later I wept and felt the situation was á hopeless.  I felt lonely and wanted to be consolated.	4
195	In the evening, while I was watching TV, my little brother came á in and started eating food he had brought from the kitchen while á I was trying to concentrate on the program.	5
196	My little brother was arrested by the police at the railway station after á he had drunk some beer.	6
197	At my temporary job, I have to restrict  others' actions and make á them obey me, and this very often gives me  a feeling of guilt.  I á wish there could be some other way of acting.	7
198	I met a dear friend of mine after a long time.  I expressed my feelings á in our own usual way, by mutual scolding and abusing (with á complete understanding) and by touching, patting and taking the á hand of the other person, etc...	1
199	I felt fear of the purest kind after a car accident.  The á incident and images of horror kept coming back to my mind.  I á wondered what could have happened to my sister, my friend and me, á though nothing very serious actually happened.	2
200	Two boys whom I know were telling me, in an indecent manner, how á they had teased a young and shy girl I know.  They had despised á her conviction, scorned and touched her.  I got very angry and á did not try to conceal it and gave it back to them.	3
201	My sweetheart left me, or rather we decided to break it off by á mutual consent.  The consequences were - unrestrained weeping, á feelings of loneliness, hopelessness and disconsolation.  I felt á that I should find a friend, to talk to joyfully and to forget.	4
202	Out of sheer curiosity, I went to see a pornographic movie in á Copenhagen.  The room was full of men, who panted and á masturbated.  Very disgusting.	5
203	After having quarelled unnecessarily and without any reason, and á having been stupidly cross in every way.	6
204	Forced to fill in a questionnaire.	7
205	When I won a tennis match.	1
206	When my dog ran out on thin ice last spring.	2
207	When my tennis match was interrupted because a kid cycled right á into the court.	3
208	Celebrations on the graduation day with the orchestra playing in á the garden ( I am a part of this orchestra).	1
209	Risk of being involved in a fight after a party.	2
210	"I had a very heavy work load and two colleagues, whom I have á nothing against, disturbed me by \terror ringing\"", i.e á"	3
211	After an exam which I failed.	4
212	When I overtook a car on the mainroad, misjudging the distance of á an oncoming car and this resulted in tooting and flashing from á the other driver (we could have collided), and I had an á acquaintance in the car with me.	6
213	I saw a neighbour, from the same appartment block as me, lying    á on the road.  He could have been injured or ill.  I kept 20 á metres away and did not go to help him.	7
214	When I met an old schhol friend (school love) who works in á Sk+vde.	1
215	When I was cycling to school, I nearly got knocked down by a car á which (overtook me too closely) did not give me any swerving space.	2
216	When I was deputy manager during the Summer, certain deputies á took liberties, more than what was normal.	3
217	When I realized that my girlfriend, whom I like, and I were going á to separate.	4
218	Dog dirt which thaws in the spring.	5
219	When I forgot my mother's birthday.	6
220	Passed the last exam.	1
221	Was nearly knocked down by a car.	2
222	I reached the bus stop and realized that I had forgotten my bus á pass.	3
223	My current work load is too much.  The feeling comes back from á time to time.	4
224	When my one year old son gives me a spontaneous kiss.	1
225	When someone close to me is travelling by car and is delayed.	2
226	When someone does something wrong which affects me negatively.	3
227	When I think about my parents getting old.	4
228	I do not have the time for other people's problems.  My á mother-in-law is sometimes depressed and I do not have the time, á the desire or the strength to help.	7
229	"An ex-colleague asked me if I was interested in working in their á accounts bureau.  They needed \clever people\"" and he had á"	1
230	I was driving and a deer suddenly appeared in front of the á car when there was a lot of traffic behind me.	2
231	I saw a report on T.V news on apartheid in South Africa. 	3
232	When my girlfriend became pregnant.	1
233	When I nearly collided with another car.	2
234	The time when someone let the air out of the tyres of my cycle.	3
235	When I read a lot and did not remember anything.	4
236	The time that I had to put my dog to sleep.	7
237	Long illness.	4
238	When I passed an exam.	1
239	When I was travelling by tram, I tripped and fell against the á door.  I thought that I was going to fall out.	2
240	When I missed the tram after having run for it.	3
241	The inability to read a book at college.	4
242	If a guy one is not interested in makes advances.	5
243	I drink wine too often.	6
244	I do not study enough as I do not understand it properly.	7
245	I worked at a lawyer's office during Summer and I got a very á good reference from him.	1
246	I had been watching a triller a dark night in the country and I á had to go the outside toilet on my own. 	2
247	When I am accused of something I have not done, I get unbelievably á angry.	3
248	When I began to read a thick book, which I had a limited time to á read.  Also when I have a lot of work to do and I cannot keep up.	4
249	Someone vomited on the street.	5
250	I can not think of any incident when I have felt very ashamed.  á There are small incidents that I am ashamed of, for instance, á not sending money to the children in Ethiopia.	6
251	I had lunch with my ex-boyfriend and did not mention it to my á fiancee.  I felt guilty despite the fact that I felt nothing for á my ex-boyfriend.	7
252	When I was finally qualified for my profession.	1
253	Someone attacked me with a knife.	2
254	Someone drove into my car and then denied that it had happened.	3
255	When I was told that my friend's wife had cancer.	4
256	When I saw a dog which had been knocked down by a car.	5
257	When I boxed my child's ears.	6
258	When I was fined for speeding.	7
259	I stopped working (had a boring job).	1
260	I was going home by car late one night when it was cold, dark and á windy.  I became rather panicky on the way to my house.	2
261	Quarrel in the family.	3
262	When I am alone in a room with no contact with anyone - á loneliness drains me.	4
263	When I was on holiday someone vomited in front of me.	5
264	Emptied a bucket of water in a hospital.	6
265	When I feigned sick leave from work.	7
266	When I get a hug from someone I love.	1
267	I was driving very fast on a small road and I met an oncoming car á in a right handed bend.  The other driver was on his own side of á the road and I had to skid out of it to avoid a collision.  It á was dark.	2
268	My car had been towed away by the traffic police because it had á been wrongly parked.  However the sign had been put up only after á I had already parked.	3
269	After an operation I had to stay in bed for a long time.	4
270	I was forced to stay in the canteen and eat the food that I had á not asked for but got it anyway.	5
271	When I did not buy what I had promised to.	6
272	By mistake I took a book from the library which was not supposed á to be loaned out.	7
273	When I won an unexpected sum of money.	1
274	My 2 year old daughter disappeared in a moment of inattention; I á was responsible for her.	2
275	A colleague asked me for some advice and as he did not have á enough confidence in me he asked a third person.	3
276	I wanted to be pregnant and did not succeed, so I was depressed    á at every menstruation.	4
277	In a warm bus full of people, someone vomited and the whole bus á stank.	5
278	I complained about a colleague's behaviour as she goes back on á her word, is often absent and is irresponsible.  I found out that á she was an alcoholic and was trying to fight againt her á addiction.	6
279	I spoke to my mother on the phone.  She had skin cancer and was á waiting to be operated.  I forgot to ask her the date of the á operation and just before finishing our conversation she gave me á the date in passing. 	7
280	When I was at a party I met an old friend from an adult á education course.  We had not met for 2 years but had both thought á a lot about each other.  A wonderful experience.á 	1
281	When I was cycling through the park late one night, two people á jumped out of the woods and tried to stop me.  There were á shouting something at the same time.	2
282	When close relatives tried to dissuade me from studying á Psychology because of its low status.	3
283	I had a long discussion on politics with an acquaintance.  He á was more knowledgeable than me and I failed to explain my point á of view and was misunderstood so I felt depressed and left.	4
284	When I read a newspaper article on a young girl who had been á raped and assaulted one night by several men when she was unconscious.	5
285	My mother revealed personal details about me and the á negative aspects of my character to other people when I was á present but unable to defend myself.	6
286	I was unfaithful to my partner once when he was working abroad á for a long period.	7
287	When I recently got an appartment in central Gottenburg.	1
288	When I saw a large spider crawling up the wall.	2
289	My employer took too many aspirins for a bad back and also drank á an enormous amount of spirit.  This was dangerous  and he did á not understand that he had done anything wrong.	3
290	When I left New York, and all my family and my friends behind me.	4
291	When I slept with a guy because my best friend wanted me to.  á He had never had intercourse with anyone and had a terrible á complex about it.	5
292	When I dated a close girlfriend's boyfriend a few times. He told á me that it was over between them and I accepted it.  When she á found out she finished our friendship.	6
293	When I broke off with my boyfriend after three years.  It was á quite unexpected for him and there was no particular reason for á the break up, such as someone else.	7
294	When my son returned from mountaineering - healthy in body and á soul.	1
295	When one meets new people with whom one is forced to collaborate á with.	2
296	The sports fishermen who catch gulls instead of fish with their hooks. á   It is often a mistake but it makes me angry.	3
297	I feel sad about an event I can not influence.	4
298	When a member of the family complains about the food that is á served, it disgusts me.	5
299	I have chosen to put my son in a private school were the á examination marks are low.  Every time that he gives me his term á results I am left with a sense of guilt.	7
300	When I was informed that I had been accepted as a student of á Psychology.	1
301	When I was in a little fishing boat and we ran into hard weather á in the open sea.	2
302	When I found out that the guy I was dating at a particular time á had a steady relationship going on with someone else for a long á time.	3
303	I felt sad and depressed when I heard that our cat had died.	4
304	When I was working as a nurse in a mental hospital, a patient ate á up the contents of another patient's spitoon.	5
305	At primary school, when I vomited in front of others in the middle  á of a lesson.	6
306	I arrived an hour late for an important meeting ( I had á misunderstood the time).	7
307	When I was acceptted as a student of psychology.	1
308	When my son has a pain in his leg (for no apparent reason).  	2
309	When, after a week at school, a teacher sent a note home saying á that my son was inattentive and unable to do his lessons.	3
310	When I thought that it was going to be impossible for me to start á studying (due to wrong information from the student advisor).	4
311	At a certain person's lack of cleanliness, at home and á personally.	5
312	When I made the same mistake that I had accused someone else of, and á this was obvious to a third pereson.	6
313	When I lost something that was valuable to my sister.	7
314	When my son was born.	1
315	When I nearly drowned in icy water wearing ice skates.  It was á difficult to get out.	2
316	When I was pointed out as a problem child in primary school and á my mother took the teacher's point of view.	3
317	When I was accused of neglecting work for the wrong reasons.	4
318	My parents attitude towards each other when they should become á reconciled, despite my father's long-time addiction.	5
319	When I was caught stealing money from my father.	6
320	I stole a coconut cake from a reception table and when I put á in my mouth I realized that the host was watching me.	7
321	"When after 10 months of national service I was \downgraded\"" and á"	1
322	When I was reprimanded by the manager of the hotel where I á worked during Autumn 1984.	2
323	When my parents drove me to a nearby place and went home á immediately instead of waiting a few hours.  They could have á easily waited.	3
324	When my ex-girlfriend and I discovered that there was a certain risk á of her being pregnant.	4
325	When I was about to clean the draining board and saw it looked á underneath the sink (I live in a students hostel).	5
326	When my mother caught me masturbating.	6
327	As the only person in my family into academics, I ought to have á looked after my younger (and only) sister better, with respect to á her education and life experiences.	7
328	When my older sister told us that she was thinking of joining the á rest of the family for the winter sports holiday.	1
329	Slept in a chapel and in the middle of the night I realized that á there was someeone else in the chapel.  I never discovered who á it was and why he was there.	2
330	When we were in high school a few guys sometimes provoked a á friend of mine.  They called her a pig and then grunted.  This á irritated most of the girls.  Once, one of the girls got angry at á my friend and said something nasty and this made me terribly á angry.	3
331	I talked to my boyfriend on the phone when I was in high spirits á and had a lot to tell him.  I had been looking forward to this á conversation and he did not listen to me to the extent that I á had anticipated.	4
332	A mother who shouts at her child for nothing.	5
333	When I complained to my mother about how untidy the kitchen á loooked, she boxed my ears ( this had never happened before).	6
334	As I could not be home before midnight I called home at 11.30 and á asked them to leave the door open so that I could get in.  I á actually woke up the whole family by calling them so late.  My á mother could not go back to sleep, besides she had a conference   á the next day and really needed to sleep.	7
335	When I got through the first day here at the department.	1
336	When I was cycling past a parked car someone opened the door and á nearly pushed me off my bike and into the traffic.	2
337	When my boyfriend sat up half the night playing computer games á with a friend.	3
338	When I had to leave my mother and my sister after a week's visit.	4
339	When I saw a big spider from very close.	5
340	When I asked a friend to return the money that I had loaned her á and then remembered that she had repayed me in several ways.	6
341	When one of my parents insinuates something about the other á (they are divorced).	7
342	When i was asked to be a child's godmother.	1
343	On the way down a ski slope which was difficult and steep.	2
344	When my mother interfered in my life.	3
345	When I was left alone one week-end without being prepared for á it.	4
346	The first time that I saw a surgeon cut off a leg and put it in a á black rubbish bag.	5
347	When I forgot about a meeting at work.	6
348	When I demand too much from my friends.	7
349	When my husband suddenly came to see me at my new job and á brought some flowers and cake with him.	1
350	When I was nearly attackad by a man who had been chasing me.	2
351	When my father asked me if I was a communist, at the same time he á made it clear that I should no longer see myself as his daughter.	3
352	When I applied for a job which I thought I had a good chance of á getting, I was not even granted an interview and did not get the á job.	4
353	T.V features showing the violation of defenceless people.	5
354	When I as a child of 9 or 10 I was playing doctor with the á neighbours boys their mother caught us.	6
355	When my husband talked about the restrictions he will have to á accept in his life to make our marriage work.  I felt that it was á directed at me as it was me who had demanded the changes.  We á were with a marriage counsellor then.	7
356	When we were able to afford a new sofa - a leather one which cost á SEK 20000.  I had waited for it for 2-3 years.	1
357	Vertigo - standing on a ladder and painting the house.	2
358	When my boss enrolled in a course to satisfy his own ends - to á trample on his associates.  I have the misfortune to have one of á my superiors in my course.	3
359	When I argue with my mother about the way she treats her two á children differently.	4
360	Spit and vomit.	5
361	Spots on the seat covers of my husband's car.	6
362	Not speaking to my sister-in-law due to lack of interest in a á relationship on my side.	7
363	"When I recently managed to get my first consulting assignment á \myself\"" i.e on my own initiative."""	1
364	I was within a hair's breadth of knocking down a drunkard who á suddenly ran into the street.  The fear came later when I     á realized what could have happened.	2
365	When my friend, as usual, forgot the tickets at home for a á performance.  We missed it.	3
366	The elections of 1982 and 1985.  The thought of what a social á democrat and communist majority could achieve, especially \worker á	4
367	A study visit to a chicken factory : the butchery, the smell, á the environment and the noise.	5
368	Confession to my parents about my involvement in a moped theft.	6
369	When I was appointed to position of trust in a group set up to á change the working environment.	1
370	I was alone in a cottage I often stay in.  I was woken up by a á rustling sound in the middle of the night.	2
371	When I tried to explain to a plumber, face to face, that the á toilet was broken and he did not believe it (it had been mended á ten times).	3
372	When the result of a project work was treated nonchalantly á intead of being criticized by the teacher.	4
373	When programmes on violence or pornography are shown on T.V.	5
374	When I talked maliciously about a colleague at work to someone á else.  Immediately afterwards I felt ashamed.	6
375	When I decided to take a week s holiday without consulting the á family first.	7
